id,time,dtg,address,lat,long,bat,batstat
1,,10/9/17 1:51,,38.57808165,-121.4973938,5%,Charging
1,,10/9/17 1:51,,38.57892908,-121.4971781,5%,Charging
1,,10/9/17 1:52,,38.58082092,-121.4962009,5%,Charging
1,,10/9/17 1:52,,38.58131055,-121.4959379,5%,Charging
1,,10/9/17 1:53,,38.58128029,-121.4958875,5%,NotCharging
1,,10/9/17 1:54,,38.58086128,-121.4960709,3%,NotCharging
1,,10/9/17 1:54,,38.58115578,-121.4960072,1%,NotCharging
1,,10/9/17 1:55,,38.58072633,-121.4959487,0%,NotCharging
1,,10/9/17 1:56,,38.58071476,-121.4957626,0%,NotCharging
1,,10/9/17 1:56,,38.58068044,-121.4952864,0%,NotCharging
1,,10/9/17 1:57,,38.58051511,-121.4948611,0%,NotCharging
1,,10/9/17 1:57,,38.58046867,-121.4947925,0%,NotCharging
1,10/16/17 12:54,10/16/17 12:54,"3800 J St, Sacramento, CA 95816, USA",38.5698942,-121.4553392,46%,NotCharging
1,10/16/17 14:44,10/16/17 14:24,"3810 J St, Sacramento, CA 95816, USA",38.56960715,-121.4554797,20%,NotCharging
1,10/16/17 14:49,10/16/17 14:49,"1822 13th St, Sacramento, CA 95811, USA",38.56937186,-121.4935601,20%,NotCharging
1,10/16/17 14:55,10/16/17 14:49,"1220-1238 S St, Sacramento, CA 95811, USA",38.56926349,-121.4938252,18%,NotCharging
1,10/16/17 15:00,10/16/17 15:00,"1225 S St, Sacramento, CA 95811, USA",38.56940639,-121.4937489,18%,NotCharging
1,10/16/17 15:05,10/16/17 15:05,"1822 13th St, Sacramento, CA 95811, USA",38.56934995,-121.4935117,18%,Charging
1,10/16/17 15:16,10/16/17 15:15,"3810 J St, Sacramento, CA 95816, USA",38.56986594,-121.4554647,23%,NotCharging
1,10/16/17 17:24,10/16/17 17:23,"3810 J St, Sacramento, CA 95816, USA",38.56945192,-121.4554921,10%,NotCharging
1,43026.86736,10/16/17 17:26,"2620 E St, Sacramento, CA 95816, USA","38.5796487937,-121.468681069",10%,NotCharging,
